Year,Genre
2010,latin
2000,chicago rap
2010,chicago rap
2010,alternative r&b
2010,contemporary country
2000,alternative dance
2010,contemporary country
2010,british soul
2010,art pop
2010,canadian hip hop
2010,art rock
2010,dance pop
2010,conscious hip hop
2010,dance pop
1980,classic rock
2000,classic rock
2000,east coast hip hop
1980,irish rock
1990,irish rock
2000,album rock
2000,dance pop
2000,alternative dance
2000,alternative rock
2000,alternative country
2000,alternative rock
1990,alternative rock
1990,alternative country
1990,g funk
1990,alternative rock
1990,album rock
1990,atl hip hop
1990,alternative pop
2000,alternative rock
1990,east coast hip hop
1990,alternative rock
1990,alternative rock
1990,conscious hip hop
1990,g funk
1980,alternative pop
1980,album rock
1980,australian rock
1980,conscious hip hop
1980,folk
1980,alternative country
1980,alternative rock
1980,pop
1980,classic rock
1980,funk
